path,exists,audit_note,cells,code_cells,markdown_cells,outputs,bytes,files
baseline.ipynb,True,"Baseline notebook; Part 3 leaning, not a Part 2 final report.",29.0,13.0,16.0,14.0,,
results/v1/eda.ipynb,True,"Broad first-pass EDA with many charts; useful coverage, weaker story.",42.0,26.0,16.0,109.0,,
results/v1/report.md,True,Earlier report; mixes 15-file scope and forecasting framing.,,,,,24691.0,
results/v2/eda.ipynb,True,Strongest existing time-series EDA; includes sample_submission in audit and focuses Part 3.,66.0,50.0,16.0,71.0,,
results/v2/report.md,True,Good narrative but overweights forecasting/test horizon for this request.,,,,,33775.0,
scripts/report_analysis.py,True,Targeted report chart script; reusable patterns and metrics.,,,,,14076.0,
group_job/phase2_product_insights_eda.ipynb,True,Product/promo/inventory notebook; strong operational slices.,28.0,17.0,11.0,52.0,,
group_job/phase2_product_insights_summary.md,True,Concise product-insight summary reused as candidate hypotheses.,,,,,2219.0,
eda_part/report/neurips_2025.tex,True,LaTeX template source.,,,,,44551.0,
eda_part/report/neurips_2025.sty,True,LaTeX style copied into report/.,,,,,13023.0,
src/,True,Part 3 modeling code; audited but not used as Part 2 evidence.,,,,,,69.0
outputs/,True,Part 3 model outputs/submission candidates; excluded from EDA evidence.,,,,,,334.0
