artifact,tables_used,main_insight,key_numbers
figures/01_revenue_decomposition.pdf,sales; orders; order_items; products,"2019 is a structural demand break driven by order/unit collapse, not lower AOV.",Revenue YoY 2019 -38.6%; orders YoY -40.1%; AOV YoY +2.7%; post-2019 daily mean -40.5% vs 2012-2018.
figures/02_seasonality_category.pdf,sales; orders; order_items; products,"The business peaks in Q2, with category-specific peak months.","May +53.4% vs average day; Dec -41.1%; Streetwear peak May, GenZ June, Outdoor December."
figures/03_profit_pool.pdf,products; order_items,"Streetwear dominates revenue, but product-level profit pool is more selective.",Streetwear 79.9% revenue; HHI 0.663; top margin SKU SaigonFlex UM-43 = 130.5M VND gross margin.
figures/04_promotion_guardrails.pdf,orders; order_items; promotions; products,Promotion is associated with weaker days and needs margin guardrails.,>50% promo-order days have 13.3% lower median revenue than <10% promo-order days; Spearman rho=-0.114.
figures/05_customer_channel_payment.pdf,customers; orders; order_items; payments,Repeat customers and search-led demand are the commercial backbone.,Top 20% customers = 60.6% revenue; repeat share 75.2%; organic_search 28.0% revenue; credit_card 55.0% payment value.
figures/06_returns_experience.pdf,returns; reviews; shipments; products; order_items,"Return leakage is system-wide, especially size/expectation mismatch, while delivery-rating linkage is weak.",wrong_size 34.7% return quantity; category return rates 3.26%-3.52%; delivery-rating rho=-0.006.
figures/07_geography_mix.pdf,geography; orders; order_items; products,Region mix changes category allocation; West is less Streetwear-heavy and more Outdoor-heavy.,East 46.5% revenue; Central 30.1%; West 23.4%; Outdoor share West 26.2% vs East 11.8%.
figures/08_inventory_misalignment.pdf,inventory; products; order_items,"Stockout and overstock coexist, pointing to allocation mismatch rather than pure supply shortage.",2022 avg stockout 66.6%; avg overstock 76.7%; avg sell-through 13.6%.
figures/09_web_traffic_signal.pdf,web_traffic; sales,Traffic is useful but not a strong standalone leading indicator.,Sessions rho=0.368; unique visitors rho=0.369; best sessions lead/lag rho=0.373 at lag +1.
tables/data_audit_13_tables.csv,all 13 EDA tables,The clean EDA scope excludes test/submission files and has consistent FK coverage.,"13 tables; 646,945 orders; 714,669 item rows; 3,833 sales days; 0 FK orphan rows in key checks."
